BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Phialanthus myrtilloides,Phialanthus,myrtilloides,,Griseb.,Rubiaceae,Gentianales,PRTRE350-13,,KJ082481,KJ426864,G.J. Breckon-6210,02-Jul-2000,US
Phlebotaenia cowellii,Phlebotaenia,cowellii,,Britton,Polygalaceae,Fabales,PRTRE576-13,,KJ082483,KJ426866,R.A. Muscarella-571,13-Feb-2012,US
Phlebotaenia penaea,Phlebotaenia,penaea,,Britton,Polygalaceae,Fabales,PRTRE259-13,KJ012710,KJ082484,,R.A. Muscarella-227,16-Jul-2011,US
Phyllanthus cuneifolius,Phyllanthus,cuneifolius,,(Britton) Croizat,Phyllanthaceae,Malpighiales,PRTRE602-13,KJ012711,KJ082485,KJ426867,R.A. Muscarella-555,21-Feb-2012,US
Phyllanthus epiphyllanthus,Phyllanthus,epiphyllanthus,subsp. epiphyllanthus,L.,Phyllanthaceae,Malpighiales,PRTRE422-13,KJ012712,KJ082487,,R.A. Muscarella-416,30-Jul-2011,US
Phyllanthus juglandifolius,Phyllanthus,juglandifolius,subsp. juglandifolius,Willd.,Phyllanthaceae,Malpighiales,PRTRE323-13,,KJ082486,KJ426869,F. Axelrod-11202,02-Jul-2000,US
Picramnia pentandra,Picramnia,pentandra,,Sw.,Picramniaceae,Picramniales,PRTRE168-13,,KJ082489,KJ426871,R.A. Muscarella-454,08-Jul-2011,US
Picrasma excelsa,Picrasma,excelsa,,(Sw.) Planch.,Simaroubaceae,Sapindales,PRTRE138-13,,,KJ426872,F. Axelrod-9152,02-Aug-1995,US
Pictetia aculeata,Pictetia,aculeata,,(Vahl) Urb.,Fabaceae,Fabales,PRTRE025-13,KJ012713,KJ082490,KJ426873,R.A. Muscarella-16,06-Mar-2011,US
Pilocarpus racemosus,Pilocarpus,racemosus,,Vahl,Rutaceae,Sapindales,PRTRE007-13,KJ012714,KJ082491,KJ426874,R.A. Muscarella-107,06-Oct-2011,US
Pimenta racemosa,Pimenta,racemosa,,(Mill.) J. W. Moore,Myrtaceae,Myrtales,PRTRE079-13,KJ012715,KJ082492,KJ426875,R.A. Muscarella-113,07-Jan-2011,US
Pinochia corymbosa,Pinochia,corymbosa,subsp. portoricensis,(Woods.) M.E. Endress & B.F. Hansen,Apocynaceae,Gentianales,PRTRE479-13,KJ012716,KJ082493,KJ426876,BBB-16,09-Jan-2012,US
Pinochia corymbosa,Pinochia,corymbosa,subsp. portoricensis,(Woods.) M.E. Endress & B.F. Hansen,Apocynaceae,Gentianales,PRTRE463-13,KJ012717,KJ082494,KJ426877,BBB-30,09-Jan-2012,US
Pinochia corymbosa,Pinochia,corymbosa,subsp. portoricensis,(Woods.) M.E. Endress & B.F. Hansen,Apocynaceae,Gentianales,PRTRE492-13,,KJ082495,KJ426878,BBB-31,09-Jan-2012,US
Pinus caribaea,Pinus,caribaea,,Morelet,Pinaceae,Pinales,PRTRE041-13,,KJ082496,,R.A. Muscarella-77,18-Jun-2011,US
Piper amalago,Piper,amalago,,L.,Piperaceae,Piperales,PRTRE090-13,KJ012718,KJ082498,KJ426879,R.A. Muscarella-23,06-Mar-2011,US
Piper jacquemontianum,Piper,jacquemontianum,,Kunth,Piperaceae,Piperales,PRTRE050-13,KJ012719,KJ082500,KJ426880,R.A. Muscarella-22,06-Mar-2011,US
Piper marginatum,Piper,marginatum,,Jacq.,Piperaceae,Piperales,PRTRE400-13,,KJ082501,KJ426881,P. Acevedo-Rdgz.-13428,02-Jun-2003,US
Piper swartzianum,Piper,swartzianum,,(Miq.) C. DC.,Piperaceae,Piperales,PRTRE314-13,,KJ082499,,F. Axelrod-9595,02-Aug-1996,US
Piscidia carthagenensis,Piscidia,carthagenensis,,Jacq.,Fabaceae,Fabales,PRTRE195-13,KJ012720,KJ082502,KJ426882,R.A. Muscarella-394,28-Jul-2011,US
Pisonia albida,Pisonia,albida,,(Heimerl) Britton ex Standl.,Nyctaginaceae,Caryophyllales,PRTRE258-13,KJ012722,KJ082503,,R.A. Muscarella-206,16-Jul-2011,US
